,SCHEXPCSST,"Total current spending for selected functions - Support Services - Total ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCSSPS,"Total current spending for selected functions - Support Services - Pupil support ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCSSIS,"Total current spending for selected functions - Support Services - Instructional staff support ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCSSGA,"Total current spending for selected functions - Support Services - General administration ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCSSSA,"Total current spending for selected functions - Support Services - School administration ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHSDEXPCSSON,"Total current spending for selected functions - Support Services - Other and nonspecified ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCSOF,"Total current spending for selected functions - Other current spending ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPCO,"Expenditure - Capital outlay ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHSDEXPOPG,"Expenditure - Intergovernmental ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHEXPOID,"Expenditure - Interest on debt ($1,000)",Expenditure of Public Elementary-Secondary School Systems,SS1300A16,,,,,,,
,SCHSDTOTREV_P,Total revenue (%),Percentage Distribution of Revenue,SS1300A17,,,,,,,
,SCHSDREVSS_P,Revenue from state sources - Total (%) [2],Percentage Distribution of Revenue,SS1300A17,,,,,,,
,SCHSDREVSSGFA_P,Revenue from state sources - General formula assistance (%),Percentage Distribution of Revenue,SS1300A17,,,,,,,
,SCHSDREVLSNLG_P,Revenue from local sources - Other local governments (%),Percentage Distribution of Revenue,SS1300A17,,,,,,,
,SCHEXPCS_PP,Total current spending ($) [2],Per Pupil Amounts for Current Spending,SS1300A18,,,,,,,
,SCHEXPCSIT_PP,Current spending for selected functions - Instruction - Total ($) [2],Per Pupil Amounts for Current Spending,SS1300A18,,,,,,,
,SCHEXPCSSIS_PP,Current spending for selected functions - Support Services - Instructional staff support ($),Per Pupil Amounts for Current Spending,SS1300A18,,,,,,,
,SCHEXPCSSGA_PP,Current spending for selected functions - Support Services - General administration ($),Per Pupil Amounts for Current Spending,SS1300A18,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,47,SCHSDREVFSDSTIT_P,1.97E-01,1.00E+00,,,,,,
,,48,SCHSDREVFS_P,9.94E-02,2.00E+00,,,,,,
,,32,SCHREVFSDSTIT,4.46E-02,3,,,,,,
,,41,SCHREVSSSE,3.48E-02,4,,,,,,
,,54,SCHSDREVLS_P,2.75E-02,5,,,,,,
,,1,leaid11,2.59E-02,6,,,,,,
,,13,SCHEXPCSISW_PP,2.32E-02,7,,,,,,
,,26,SCHEXPCSST_PP,2.23E-02,8,,,,,,
,,7,SCHEXPCSFEB_PP,2.01E-02,9,,,,,,
,,53,SCHSDREVLSTPGC_P,1.86E-02,10,,,,,,
,,11,SCHEXPCSIEB_PP,1.75E-02,11,,,,,,
,,30,SCHREVFSDSCN,1.70E-02,12,,,,,,
,,50,SCHSDREVLSC_P,1.62E-02,13,,,,,,
,,9,SCHEXPCSFSW_PP,1.60E-02,14,,,,,,
,,24,SCHEXPCSSSA_PP,1.57E-02,15,,,,,,
,,22,SCHEXPCSSPS_PP,1.51E-02,16,,,,,,
,,0,FIPST,1.46E-02,17,,,,,,
